incident number,crime class,add date,age,race,sex
123,L3551,5/16/20 2:03,49,BLACK/AFRICAN AMERICAN,M
124,L3551,5/16/20 2:03,43,UNKNOWN,F
125,L3551,5/16/20 2:03,34,BLACK/AFRICAN AMERICAN,M
126,L3551,5/5/20 23:36,56,WHITE,F
127,L3551,5/2/20 0:37,21,BLACK/AFRICAN AMERICAN,F
128,L3551,5/2/20 0:37,22,BLACK/AFRICAN AMERICAN,M
129,L3551,5/25/20 22:02,28,WHITE,M
130,L3551,5/16/20 23:55,63,WHITE,F
131,L3551,5/27/20 21:58,30,WHITE,M
132,L3551,5/17/20 0:31,18,WHITE,F
133,L3551,5/15/20 21:55,48,WHITE,F